what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363147909048
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363147912730
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1363147912870
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363148128623
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363148132636
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363148134601
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363148354214
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1363148358606
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363148365653
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363148375596
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363148375718
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363148375790
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363148384848
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363148390865
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1363148391868
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363148421341
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363148478456
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1363148487701
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1363148492946
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1363148493996
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363148506662
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363148507625
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363148508380
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363148703928
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1363148744605
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1363148745928
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363148763601
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363148765270
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1363148767117
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363148768317
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363148769343
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363148770552
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1363203066963
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1363203066964
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1363203066983
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1363203067001
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1363203067007
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1363203067032
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1363203067038
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1363203067088
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1363203067105
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1363203067147
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1363203067158
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1363203067229
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1363203067254
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1363203067266
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1363203067288
started,bundle,org.eclipse.ecf,3.0.0.v20090831-1906,"org.eclipse.ecf",1363203067343
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090831-1906,"org.eclipse.ecf.filetransfer",1363203067357
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090831-1906,"org.eclipse.ecf.identity",1363203067395
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer",1363203067421
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer.httpclient",1363203067435
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1363203067461
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1363203067587
started,bundle,org.eclipse.equinox.app,1.2.1.R35x_v20091203,"org.eclipse.equinox.app",1363203067635
started,bundle,org.eclipse.equinox.common,3.5.1.R35x_v20090807-1100,"org.eclipse.equinox.common",1363203067659
started,bundle,org.eclipse.equinox.ds,1.1.1.R35x_v20090806,"org.eclipse.equinox.ds",1363203067672
started,bundle,org.eclipse.equinox.frameworkadmin,1.0.100.v20090520-1905,"org.eclipse.equinox.frameworkadmin",1363203067677
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.101.R35x_v20091214,"org.eclipse.equinox.frameworkadmin.equinox",1363203067686
started,bundle,org.eclipse.equinox.p2.core,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.core",1363203067687
started,bundle,org.eclipse.equinox.p2.director,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.director",1363203067699
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.100.v20090525,"org.eclipse.equinox.p2.directorywatcher",1363203067700
started,bundle,org.eclipse.equinox.p2.engine,1.0.102.R35x_v20091117,"org.eclipse.equinox.p2.engine",1363203067711
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.exemplarysetup",1363203067725
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.garbagecollector",1363203067739
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.101.R35x_v20090812,"org.eclipse.equinox.p2.metadata.repository",1363203067746
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.reconciler.dropins",1363203067758
started,bundle,org.eclipse.equinox.p2.repository,1.0.1.R35x_v20100105,"org.eclipse.equinox.p2.repository",1363203067771
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1363203067776
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20090520-1905,"org.eclipse.equinox.p2.updatechecker",1363203067786
started,bundle,org.eclipse.equinox.preferences,3.2.301.R35x_v20091117,"org.eclipse.equinox.preferences",1363203067796
started,bundle,org.eclipse.equinox.registry,3.4.100.v20090520-1800,"org.eclipse.equinox.registry",1363203067802
started,bundle,org.eclipse.equinox.security,1.0.100.v20090520-1800,"org.eclipse.equinox.security",1363203067833
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1363203067835
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1363203067847
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1363203067856
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1363203067875
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1363203067922
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1363203067967
started,bundle,org.eclipse.jdt.launching.macosx,3.2.0.v20090527,"org.eclipse.jdt.launching.macosx",1363203067968
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1363203068037
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1363203068056
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1363203068070
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1363203068077
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1363203068083
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1363203068098
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1363203068132
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1363203068140
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1363203068147
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1363203068165
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1363203068168
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1363203068182
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1363203068194
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1363203068207
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1363203068215
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1363203068215
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1363203068229
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1363203068239
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1363203068239
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1363203068239
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1363203068239
started,bundle,org.eclipse.mylyn.bugzilla.core,3.8.1.v20120725-0100,"org.eclipse.mylyn.bugzilla.core",1363203068270
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.8.1.v20120725-0100,"org.eclipse.mylyn.bugzilla.ui",1363203068279
started,bundle,org.eclipse.mylyn.commons.core,3.8.1.v20120725-0100,"org.eclipse.mylyn.commons.core",1363203068279
started,bundle,org.eclipse.mylyn.commons.net,3.8.1.v20120725-0100,"org.eclipse.mylyn.commons.net",1363203068279
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.0.1.v20120725-0100,"org.eclipse.mylyn.commons.notifications.core",1363203068285
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.1.v20120725-0100,"org.eclipse.mylyn.commons.notifications.feed",1363203068289
started,bundle,org.eclipse.mylyn.commons.notifications.ui,1.0.1.v20120725-0100,"org.eclipse.mylyn.commons.notifications.ui",1363203068298
started,bundle,org.eclipse.mylyn.commons.ui,3.8.1.v20120725-0100,"org.eclipse.mylyn.commons.ui",1363203068312
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.1.v20120725-0100,"org.eclipse.mylyn.commons.workbench",1363203068326
started,bundle,org.eclipse.mylyn.context.core,3.8.1.v20120725-0100,"org.eclipse.mylyn.context.core",1363203068326
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.1.v20120725-0100,"org.eclipse.mylyn.context.tasks.ui",1363203068340
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.1.v20120725-0100,"org.eclipse.mylyn.monitor.ui",1363203068354
started,bundle,org.eclipse.mylyn.tasks.index.core,3.8.1.v20120725-0100,"org.eclipse.mylyn.tasks.index.core",1363203068362
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.1.v20120725-0100,"org.eclipse.mylyn.tasks.ui",1363203068379
os,sysinfo,,,"macosx",1363203068381
arch,sysinfo,,,"x86",1363203068381
ws,sysinfo,,,"cocoa",1363203068381
locale,sysinfo,,,"en_US",1363203068381
processors,sysinfo,,,"2",1363203068382
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1363203068382
java.runtime.version,sysinfo,,,"1.6.0_43-b01-447-11M4203",1363203068382
java.specification.name,sysinfo,,,"Java Platform API Specification",1363203068382
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1363203068382
java.specification.version,sysinfo,,,"1.6",1363203068382
java.vendor,sysinfo,,,"Apple Inc.",1363203068382
java.version,sysinfo,,,"1.6.0_43",1363203068382
java.vm.info,sysinfo,,,"mixed mode",1363203068382
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1363203068382
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1363203068382
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1363203068382
java.vm.specification.version,sysinfo,,,"1.0",1363203068382
java.vm.vendor,sysinfo,,,"Apple Inc.",1363203068382
java.vm.version,sysinfo,,,"20.14-b01-447",1363203068382
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1363203068509
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1363203068612
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1363203068614
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1363203068888
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1363203069100
started,bundle,com.objectaid.uml,1.0.10,"com.objectaid.uml",1363203069108
started,bundle,org.eclipse.mylyn.team.ui,3.8.1.v20120725-0100,"org.eclipse.mylyn.team.ui",1363203069185
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1363203069643
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1363203069855
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1363203069944
started,bundle,com.objectaid.uml.cls,1.0.10,"com.objectaid.uml.cls",1363203070184
started,bundle,org.eclipse.gef,3.5.1.v20090910-2020,"org.eclipse.gef",1363203070231
started,bundle,com.objectaid.uml.seq,1.0.10,"com.objectaid.uml.seq",1363203070377
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1363203072686
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1363203072715
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363203196088
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1363203209574
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1363203211769
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1363203212016
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363203212180
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363203212394
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1363203213012
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1363203216163
